start_t,server_id,count
51960,9,2
52020,1,208
52020,12,9
52020,13,65
52020,2,25
52020,5,1
52020,7,591
52080,1,101
52080,10,3
52080,12,6
52080,13,33
52080,7,284
52140,1,74
52140,12,2
52140,13,4
52140,2,14
52140,7,194
52200,1,31
52200,13,21
52200,2,20
52200,5,4
52200,6,1
52200,7,95
52260,1,23
52260,12,2
52260,13,10
52260,2,7
52260,5,2
52260,7,49
52320,1,4
52320,12,1
52320,13,8
52320,2,39
52320,7,33
52380,1,1
52380,12,2
52380,13,8
52380,2,18
52380,7,166
52440,1,6
52440,12,1
52440,13,13
52440,2,8
52440,7,335
52500,1,2
52500,13,10
52500,14,1
52500,2,18
52500,7,84
52560,1,5
52560,12,3
52560,13,17
52560,2,16
52560,7,158
52620,1,26
52620,10,2
52620,12,12
52620,13,56
52620,14,5
52620,2,85
52620,7,364
52680,1,76
52680,12,3
52680,13,45
52680,14,11
52680,2,45
52680,5,2
52680,6,5
52680,7,244
52740,1,41
52740,12,5
52740,13,33
52740,14,10
52740,5,10
52740,7,233
52800,1,16
52800,13,78
52800,14,1
52800,2,3
52800,5,8
52800,7,157
52860,1,18
52860,12,2
52860,13,65
52860,14,3
52860,2,4
52860,5,9
52860,7,277
52920,1,20
52920,13,62
52920,14,4
52920,2,24
52920,7,374
52980,1,94
52980,11,6
52980,12,21
52980,13,51
52980,14,2
52980,2,14
52980,5,1
52980,6,1
52980,7,327
53040,1,41
53040,11,23
53040,12,40
53040,13,104
53040,14,1
53040,2,1
53040,5,1
53040,6,4
53040,7,432
53100,1,237
53100,10,3
53100,11,15
53100,12,7
53100,13,86
53100,14,1
53100,7,479
53160,1,204
53160,11,12
53160,12,20
53160,13,50
53160,14,1
53160,7,610
53220,1,328
53220,10,3
53220,11,7
53220,12,11
53220,13,106
53220,14,12
53220,4,42
53220,6,4
53220,7,745
53280,1,356
53280,10,1
53280,12,7
53280,13,71
53280,4,21
53280,7,618
53340,1,249
53340,10,2
53340,11,5
53340,12,378
53340,13,114
53340,2,10
53340,4,25
53340,6,13
53340,7,563
53400,1,180
53400,12,2
53400,13,28
53400,2,9
53400,4,11
53400,5,1
53400,6,19
53400,7,530
53460,1,237
53460,10,20
53460,11,3
53460,12,12
53460,13,82
53460,2,2
53460,6,93
53460,7,575
53520,1,150
53520,10,5
53520,11,5
53520,12,5
53520,13,52
53520,2,48
53520,4,8
53520,6,51
53520,7,437
53580,1,154
53580,12,4
53580,13,40
53580,2,16
53580,4,16
53580,6,99
53580,7,210
53640,1,28
53640,12,2
53640,13,24
53640,2,47
53640,4,2
53640,7,346
53700,1,31
53700,11,2
53700,12,2
53700,13,22
53700,2,3
53700,4,3
53700,6,2
53700,7,227
53760,1,16
53760,11,1
53760,12,1
53760,13,36
53760,14,1
53760,2,8
53760,4,28
53760,7,290
53820,1,20
53820,10,2
53820,11,1
53820,12,2
53820,13,24
53820,2,3
53820,4,35
53820,7,226
53880,1,35
53880,11,1
53880,13,32
53880,2,2
53880,4,54
53880,7,72
53940,1,24
53940,10,1
53940,11,13
53940,13,31
53940,2,4
53940,4,49
53940,7,85
54000,1,22
54000,10,1
54000,11,25
54000,13,14
54000,14,1
54000,2,5
54000,4,31
54000,7,206
54060,1,129
54060,11,8
54060,12,1
54060,13,33
54060,2,1
54060,4,12
54060,7,285
54120,1,146
54120,11,6
54120,12,5
54120,13,50
54120,2,6
54120,4,25
54120,7,319
54180,1,95
54180,10,6
54180,11,5
54180,12,18
54180,13,77
54180,2,1
54180,4,30
54180,5,1
54180,7,393
54240,1,141
54240,10,7
54240,11,7
54240,12,18
54240,13,61
54240,2,12
54240,4,45
54240,5,2
54240,6,4
54240,7,647
54300,1,150
54300,10,4
54300,11,186
54300,12,8
54300,13,57
54300,2,8
54300,4,20
54300,6,5
54300,7,427
54360,1,52
54360,10,5
54360,11,34
54360,12,14
54360,13,88
54360,2,11
54360,4,48
54360,6,12
54360,7,563
54420,1,132
54420,10,6
54420,11,21
54420,12,33
54420,13,42
54420,2,6
54420,4,44
54420,5,4
54420,7,572
54480,1,296
54480,10,1
54480,11,10
54480,12,24
54480,13,88
54480,2,70
54480,4,12
54480,6,7
54480,7,503
54540,1,311
54540,10,10
54540,11,19
54540,12,14
54540,13,118
54540,2,17
54540,4,77
54540,5,3
54540,6,24
54540,7,419
54600,1,337
54600,10,5
54600,11,6
54600,12,8
54600,13,51
54600,2,3
54600,4,51
54600,5,2
54600,6,59
54600,7,443
54660,1,423
54660,10,1
54660,11,1
54660,12,11
54660,13,42
54660,2,7
54660,4,21
54660,5,4
54660,6,4
54660,7,456
54720,1,217
54720,10,2
54720,12,13
54720,13,49
54720,2,4
54720,4,24
54720,5,4
54720,7,354
54780,1,371
54780,10,3
54780,11,1
54780,12,18
54780,13,52
54780,2,25
54780,4,15
54780,6,9
54780,7,417
54840,1,231
54840,10,2
54840,11,1
54840,12,5
54840,13,64
54840,2,51
54840,4,9
54840,6,53
54840,7,314
54900,1,145
54900,10,24
54900,11,3
54900,12,4
